ID,CAG,WA,SS,OVP,DISC,DISC EXTRA
A01749690,1,1,1,0,1,1
A01657776,1,1,1,0,1,1
A01658108,0,0,1,1,1,1
A01659017,1,1,1,0,1,1
A01642935,1,1,1,0,1,1
A01638813,1,1,1,1,0,1
A01659758,1,1,1,0,1,1
A00830189,0,0,1,1,0,1
A01781053,1,1,1,1,0,1
A01639705,0,0,1,1,0,1
A01781688,0,0,1,0,0,1
A01660707,1,0,1,1,0,1
A01753294,1,1,1,1,0,1
A01782799,1,1,1,0,0,1
A01254066,1,1,1,1,0,1
A01641156,1,0,1,0,0,1
A01782183,0,0,1,1,0,1
A01641518,1,1,1,1,0,1
A01754348,1,1,1,1,0,1
A01641809,1,1,1,1,0,1
A01661705,1,1,1,1,0,0
A01782654,1,1,1,1,0,1
A01798147,1,0,1,0,0,1
A01662420,1,1,1,1,0,1
A01662554,1,0,1,1,0,1
A01661908,1,0,1,0,0,1
A01771265,1,0,1,1,0,1
A01736533,1,0,1,1,0,1
A01782959,0,0,1,1,0,1
A01736698,1,1,1,1,0,1
A01783093,1,0,1,1,0,1
A01662241,1,1,1,1,0,1
A01783127,1,0,1,0,0,1
A01798085,1,0,1,0,0,1
A01664163,1,1,1,0,1,1
A01664663,1,1,1,0,1,1
A01373553,1,1,1,1,0,0
A01337843,0,0,1,1,0,1
A01339165,0,0,1,1,0,0
A01551878,1,0,1,1,0,1
A01246111,1,0,1,0,0,1
A01633316,1,1,1,0,1,1
A01566969,1,1,1,1,0,1
A01024998,1,1,1,1,0,1
A00227097,1,0,1,1,0,1
A01252055,1,0,1,1,0,1
A01746009,1,1,1,0,0,1
A01654983,1,0,1,1,0,1
A01611567,0,0,1,0,0,1
A01026145,1,1,1,1,0,1
A01635456,1,0,1,0,0,1
A01635506,1,0,1,0,0,1
A00572368,1,1,1,1,0,0
A01747920,1,1,1,1,0,1
A01748050,1,0,1,0,0,1
A01748077,1,1,1,1,0,1
A00572445,1,1,1,1,0,1
A01636326,1,0,1,0,0,1
A01067478,1,1,1,1,0,1
A01740975,1,1,1,1,0,1
A01656455,1,1,1,1,0,0
A01027073,1,0,1,1,0,1
A01748289,0,0,1,0,0,1
A01749039,1,1,1,0,1,1
A01636833,1,1,1,1,0,1
A01751241,1,1,1,0,1,1
A01750120,1,1,1,1,0,1
A01254206,1,1,1,1,0,1
A01640662,1,1,1,1,0,1
A01637264,1,1,1,0,1,1
A01657298,1,1,1,0,1,1
A01657791,1,1,1,0,1,1
A01657771,1,1,1,0,1,1
A01638006,1,1,1,0,1,1
A01769443,0,0,1,1,0,1
A01541505,1,0,1,1,0,1
A01029417,1,1,1,1,0,1
A01029189,1,1,1,1,0,1
A01640200,1,0,1,1,1,1
A01659100,0,0,1,0,0,1
A01067933,1,0,1,1,0,1
A01660993,1,0,1,0,0,1
A01781770,1,1,1,1,0,1
A01661167,1,1,1,1,0,1
A00834212,1,0,1,1,0,1
A01782131,1,1,1,1,0,1
A01254045,1,1,1,1,0,1
A01742438,1,1,1,1,0,1
A01641675,1,1,1,0,1,1
A01736575,1,1,1,1,0,1
A01798066,1,1,1,1,0,1
A00834697,0,0,1,0,0,1
A01661879,1,1,1,1,0,1
A01642099,1,1,1,0,1,1
A01754455,0,0,1,0,0,1
A01641954,1,1,1,0,0,1
A01412742,1,0,1,1,0,1
A01754987,1,1,1,1,0,1
A01642323,1,1,1,1,0,1
A01662510,1,0,1,1,0,1
A01662785,1,1,1,1,0,1
A01664466,1,1,1,0,1,1
A01761377,1,1,1,0,1,1
A01742359,1,1,1,1,0,1
A01651820,1,0,1,1,0,1
A01023650,1,1,1,1,1,1
A01366973,1,1,1,1,0,1
A01114881,1,1,1,1,0,1
A01652879,1,1,1,1,0,1
A01653276,1,0,1,1,0,1
A01653355,1,0,1,1,0,1
A01379865,1,1,1,1,0,1
A01540719,0,0,1,0,0,1
A01636045,1,1,1,1,0,1
