MATRICULA,REQUISITO,WA,SS,OVP,DISC,DISC EXTRA
A01742100,1,1,1,1,0,1
A01742253,1,1,1,1,0,1
A01276098,1,1,1,1,0,1
A01771263,1,1,1,1,0,1
A01735927,1,1,1,1,0,1
A01770463,1,1,1,1,0,1
A01236277,1,1,1,1,0,1
A01735994,1,1,1,1,0,1
A01771048,1,1,1,1,0,1
A01253734,1,1,1,1,0,1
A01562591,1,1,1,1,0,1
A01736345,1,1,1,1,0,1
A01661736,1,1,1,1,0,1
A01709293,1,1,1,1,0,1
A01625513,1,1,1,1,0,1
A01562602,1,1,1,1,0,1
A01562463,1,1,1,1,0,1
A01709282,1,0,1,1,0,1
A01423577,1,1,1,1,0,1
A01383324,1,1,1,1,0,1
A01732803,1,1,1,1,0,1
A01613537,0,1,1,1,0,1
A01274537,1,0,1,1,0,1
A01368476,1,1,1,1,0,1
A01733195,1,1,1,1,0,1
A01368657,1,1,1,1,0,1
A01709186,1,1,1,1,0,1
A01705346,1,1,1,1,0,1
A01567011,1,1,1,1,0,1
A01733524,1,1,1,1,0,0
A01367902,1,1,1,1,0,1
A01368671,1,1,1,1,0,1
A01562625,1,1,1,1,0,1
A01252703,1,1,1,1,0,1
A01562467,1,1,1,1,0,1
A01707499,1,1,1,1,0,1
A01735363,1,1,1,1,0,1
A01736163,1,1,1,1,0,1
A01254257,1,1,1,1,0,1
A01384707,1,1,1,1,0,1
A01277256,1,1,1,1,0,1
A01562781,1,1,1,1,0,1
A01734333,1,1,1,1,0,1
A01708336,1,1,1,1,0,1
A01742428,1,1,1,1,0,0
A01236299,1,1,1,1,0,1
A01735813,1,1,1,1,0,1
A01276775,1,1,1,1,0,1
A01736610,1,1,1,1,0,1
A01709642,1,1,1,1,0,1
A01368679,1,1,1,1,0,1
A01613549,1,1,1,1,0,0
A01620513,1,0,1,1,0,1
A01352001,1,1,1,1,0,1
A01703527,1,1,1,1,0,0
A01252480,1,1,1,1,0,1
A01423810,1,1,1,1,0,1
A01235606,1,1,1,1,0,1
A01749002,1,1,1,1,0,1
A01423646,1,1,1,1,0,1
A01703960,1,1,1,1,0,1
A01705267,1,1,1,1,0,1
A01704096,1,1,1,1,0,1
A01368813,1,1,1,1,0,1
A01368822,1,1,1,1,0,0
A01741152,1,1,1,1,0,0
A01411437,1,1,1,1,0,1
A01423620,1,1,1,1,0,1
A01254018,1,1,1,1,0,1
A01424996,1,1,1,1,0,1
A01708858,1,1,1,1,0,0
A01736555,1,1,1,1,0,1
A01770261,1,1,1,1,0,1
A01735840,1,1,1,1,0,1
A01734192,1,1,1,1,0,1
A01707805,1,1,1,1,0,1
A00573466,1,1,1,1,0,1
A01254229,1,1,1,1,0,1
A01709413,1,1,1,1,0,1
A01735895,1,1,1,1,0,1
A01736671,1,1,1,1,0,1
A01709634,1,1,1,1,0,0
A01613057,1,1,1,1,0,1
A01568066,1,1,1,1,0,1
A01635441,1,1,1,1,0,1
A01366964,1,1,1,1,0,1
A00571775,1,1,1,1,0,1
A01635482,1,1,1,1,0,1
A01276100,0,1,1,1,0,1
A01411644,1,0,1,1,0,1
A01368545,1,1,1,1,0,1
A01611266,1,1,1,1,0,1
A01411849,0,1,1,1,0,1
A01275728,1,1,1,1,0,1
A00572239,1,1,1,1,0,0
