ID,CAG AD25 (POR CREDITOS),SERVICIO SOCIAL,DISCIPLINAR ACREDITADA,DISCIPLINARES Extra,ORIENTACION,WA,Requisito
A01659770,0,1,0,1,1,0,1
A01655175,0,1,0,1,1,0,1
A01747025,1,1,0,1,0,1,1
A01635747,1,1,0,1,1,1,1
A01747522,1,1,0,1,1,1,1
A01747557,1,1,0,1,1,1,1
A01636315,0,1,0,1,0,0,1
A01029922,0,1,0,1,1,0,1
A01735551,1,1,0,1,1,0,1
A01781712,1,1,0,1,1,1,1
A01641048,1,1,0,1,1,1,1
A01754194,1,1,0,1,1,1,1
A01177763,1,1,0,1,0,0,1
A01281135,1,1,0,1,1,0,1
A01740604,1,1,0,1,1,0,1
A01720757,1,1,0,1,1,0,1
A01025291,1,1,0,1,1,0,1
A01197698,1,1,0,1,1,0,1
A01285136,1,1,0,1,0,0,1
A01383399,1,1,0,1,1,1,1
A00830542,1,1,0,1,1,0,1
A00832270,1,1,0,1,1,0,1
A01172765,1,1,0,1,1,0,1
A00832582,1,1,0,1,1,0,1
A01197357,1,1,0,1,1,0,1
A01284334,1,1,0,1,1,0,1
A00832208,1,1,0,1,1,1,1
A00823311,1,1,0,1,1,0,1
A01721530,0,1,0,1,1,1,1
A01732983,1,1,0,1,1,1,1
A01383696,1,1,0,1,0,0,1
A00829580,1,1,0,1,1,0,1
A01751091,1,1,0,1,1,0,1
A00831024,0,1,0,1,1,0,1
A00830396,1,1,0,1,1,0,1
A00831763,1,1,0,1,0,0,1
A01708180,0,1,0,1,1,0,1
A00834780,1,1,0,1,1,0,1
A01173184,1,1,0,1,1,0,1
A01411232,1,1,0,1,1,0,1
A01367730,1,1,0,1,1,0,1
A01284396,1,1,0,1,0,0,1
A01252414,1,1,0,1,0,0,1
A01570988,1,1,0,1,1,0,1
A01284712,1,1,0,1,1,1,1
A00825007,1,1,0,1,1,0,1
A01722158,1,1,0,1,1,0,1
A00830314,1,1,0,1,1,1,1
A01562561,1,1,0,1,1,0,1
A01625415,1,1,0,1,1,0,1
A00832313,1,1,0,1,1,0,1
A00832113,1,1,0,1,0,0,1
A00831741,1,1,0,1,0,0,1
A00831867,1,1,0,1,1,0,1
